Site,Pod,DC,normal,zone
MCD_00201,9,DAL,True,(GMT-05:00) Eastern Time (US & Canada)
MCD_00383,9,DAL,True,(GMT-05:00) Eastern Time (US & Canada)
MCD_00837,9,DAL,True,(GMT-05:00) Eastern Time (US & Canada)
MCD_02604,9,DAL,True,(GMT-05:00) Eastern Time (US & Canada)
MCD_02917,9,DAL,True,(GMT-05:00) Eastern Time (US & Canada)
MCD_04148,9,DAL,True,(GMT-05:00) Eastern Time (US & Canada)
MCD_04605,9,DAL,True,(GMT-05:00) Eastern Time (US & Canada)
MCD_04977,9,DAL,True,(GMT-05:00) Eastern Time (US & Canada)
MCD_06717,9,DAL,True,(GMT-05:00) Eastern Time (US & Canada)
MCD_07430,9,DAL,True,(GMT-05:00) Eastern Time (US & Canada)
MCD_08059,9,DAL,True,(GMT-05:00) Eastern Time (US & Canada)
MCD_08284,9,DAL,True,(GMT-05:00) Eastern Time (US & Canada)
MCD_10591,9,DAL,True,(GMT-05:00) Eastern Time (US & Canada)
MCD_10957,9,DAL,True,(GMT-05:00) Eastern Time (US & Canada)
MCD_10985,9,DAL,True,(GMT-05:00) Eastern Time (US & Canada)
MCD_11127,9,DAL,True,(GMT-05:00) Eastern Time (US & Canada)
MCD_11179,9,DAL,True,(GMT-05:00) Eastern Time (US & Canada)
MCD_11189,9,DAL,True,(GMT-05:00) Eastern Time (US & Canada)
MCD_11199,9,DAL,True,(GMT-05:00) Eastern Time (US & Canada)
MCD_11228,9,DAL,True,(GMT-05:00) Eastern Time (US & Canada)
MCD_11311,9,DAL,True,(GMT-05:00) Eastern Time (US & Canada)
MCD_11382,9,DAL,True,(GMT-05:00) Eastern Time (US & Canada)
MCD_11652,9,DAL,True,(GMT-05:00) Eastern Time (US & Canada)
MCD_11658,9,DAL,True,(GMT-05:00) Eastern Time (US & Canada)
MCD_11665,9,DAL,True,(GMT-05:00) Eastern Time (US & Canada)
MCD_11682,9,DAL,True,(GMT-05:00) Eastern Time (US & Canada)
MCD_11683,9,DAL,True,(GMT-05:00) Eastern Time (US & Canada)
MCD_11722,9,DAL,True,(GMT-05:00) Eastern Time (US & Canada)
MCD_11750,9,SNA,True,(GMT-05:00) Eastern Time (US & Canada)
MCD_11781,9,DAL,True,(GMT-05:00) Eastern Time (US & Canada)
MCD_11803,9,DAL,True,(GMT-05:00) Eastern Time (US & Canada)
MCD_11988,9,DAL,True,(GMT-05:00) Eastern Time (US & Canada)
MCD_11998,9,DAL,True,(GMT-05:00) Eastern Time (US & Canada)
MCD_12359,9,DAL,True,(GMT-05:00) Eastern Time (US & Canada)
MCD_12366,9,DAL,True,(GMT-05:00) Eastern Time (US & Canada)
MCD_12402,9,DAL,True,(GMT-05:00) Eastern Time (US & Canada)
MCD_12465,9,DAL,True,(GMT-05:00) Eastern Time (US & Canada)
MCD_12895,9,DAL,True,(GMT-05:00) Eastern Time (US & Canada)
MCD_13120,9,DAL,True,(GMT-05:00) Eastern Time (US & Canada)
MCD_13538,9,DAL,True,(GMT-05:00) Eastern Time (US & Canada)
MCD_13592,9,DAL,True,(GMT-05:00) Eastern Time (US & Canada)
MCD_13593,9,DAL,True,(GMT-05:00) Eastern Time (US & Canada)
MCD_13623,9,DAL,True,(GMT-05:00) Eastern Time (US & Canada)
MCD_13667,9,DAL,True,(GMT-05:00) Eastern Time (US & Canada)
